language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
82,HEB_006,0.94420357329655,-0.963951605313404,0.0281539608812136,0.015730828082393,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_007,0.942113206697424,-0.965541521982152,0.0239485210812807,0.0160064157197037,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_008,0.942073226819219,-0.967072067315544,0.0207005292834989,0.015732957886812,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_009,0.941400176637632,-0.960557246532107,0.0250926659319924,0.0134310574812571,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_010,0.944507738828678,-0.965982456833992,0.0234898597735477,0.0163927284182609,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_011,0.944691651045604,-0.963341555231995,0.0232586142070895,0.0139714123530251,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_012,0.944575832222748,-0.961263250646489,0.025442806349962,0.0135898063470787,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_013,0.941648674157288,-0.964171024940751,0.0233237080387362,0.0166933422590152,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_014,0.945933848599525,-0.963472744470403,0.025102301823707,0.0145491495765921,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_015,0.943528263914952,-0.969711633169368,0.022013124915485,0.017702024462625,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_016,0.947720056999629,-0.964490585665141,0.0251740278281771,0.0132164830700335,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_017,0.944510008071435,-0.964438211105157,0.0254375616106382,0.0150595527211121,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_018,0.945945943689374,-0.965793536345304,0.0252004744131194,0.0159646375402266,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_019,0.944467494904671,-0.962641094236752,0.0268096838104725,0.0142388902636226,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_020,0.945249830232874,-0.97040285575472,0.024912523027819,0.0184590537642962,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
